"filename", "language", "JavaScript", "Vue.js", "Less", "Markdown", "HTML", "JSON", "comment", "blank", "total"
"d:\Projects\chart_client\.postcssrc.js", "JavaScript", 7, 0, 0, 0, 0, 0, 2, 2, 11
"d:\Projects\chart_client\README.md", "Markdown", 0, 0, 0, 16, 0, 0, 0, 8, 24
"d:\Projects\chart_client\build\build.js", "JavaScript", 35, 0, 0, 0, 0, 0, 0, 7, 42
"d:\Projects\chart_client\build\check-versions.js", "JavaScript", 45, 0, 0, 0, 0, 0, 0, 10, 55
"d:\Projects\chart_client\build\utils.js", "JavaScript", 80, 0, 0, 0, 0, 0, 5, 17, 102
"d:\Projects\chart_client\build\vue-loader.conf.js", "JavaScript", 21, 0, 0, 0, 0, 0, 0, 2, 23
"d:\Projects\chart_client\build\webpack.base.conf.js", "JavaScript", 81, 0, 0, 0, 0, 0, 4, 5, 90
"d:\Projects\chart_client\build\webpack.dev.conf.js", "JavaScript", 82, 0, 0, 0, 0, 0, 7, 7, 96
"d:\Projects\chart_client\build\webpack.prod.conf.js", "JavaScript", 114, 0, 0, 0, 0, 0, 24, 8, 146
"d:\Projects\chart_client\config\dev.env.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\Projects\chart_client\config\index.js", "JavaScript", 29, 0, 0, 0, 0, 0, 25, 16, 70
"d:\Projects\chart_client\config\prod.env.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 1, 5
"d:\Projects\chart_client\documents\demand.md", "Markdown", 0, 0, 0, 47, 0, 0, 0, 13, 60
"d:\Projects\chart_client\documents\description.md", "Markdown", 0, 0, 0, 16, 0, 0, 0, 6, 22
"d:\Projects\chart_client\documents\interactive.md", "Markdown", 0, 0, 0, 23, 0, 0, 0, 8, 31
"d:\Projects\chart_client\documents\modify.md", "Markdown", 0, 0, 0, 71, 0, 0, 0, 23, 94
"d:\Projects\chart_client\index.html", "HTML", 0, 0, 0, 0, 13, 0, 0, 3, 16
"d:\Projects\chart_client\package-lock.json", "JSON", 0, 0, 0, 0, 0, 14345, 0, 1, 14346
"d:\Projects\chart_client\package.json", "JSON", 0, 0, 0, 0, 0, 73, 0, 1, 74
"d:\Projects\chart_client\src\APIs\event.js", "JavaScript", 29, 0, 0, 0, 0, 0, 4, 4, 37
"d:\Projects\chart_client\src\APIs\event_remain.js", "JavaScript", 44, 0, 0, 0, 0, 0, 9, 8, 61
"d:\Projects\chart_client\src\APIs\global.js", "JavaScript", 4, 0, 0, 0, 0, 0, 1, 1, 6
"d:\Projects\chart_client\src\App.vue", "Vue.js", 0, 62, 0, 0, 0, 0, 0, 4, 66
"d:\Projects\chart_client\src\components\Head\Head.vue", "Vue.js", 0, 88, 0, 0, 0, 0, 2, 8, 98
"d:\Projects\chart_client\src\components\Icon\Icon.vue", "Vue.js", 0, 51, 0, 0, 0, 0, 0, 2, 53
"d:\Projects\chart_client\src\main.js", "JavaScript", 23, 0, 0, 0, 0, 0, 5, 5, 33
"d:\Projects\chart_client\src\pages\AddMessage\AddMessage.less", "Less", 0, 0, 203, 0, 0, 0, 0, 33, 236
"d:\Projects\chart_client\src\pages\AddMessage\AddMessage.vue", "Vue.js", 0, 295, 0, 0, 0, 0, 5, 4, 304
"d:\Projects\chart_client\src\pages\Group\Group.less", "Less", 0, 0, 238, 0, 0, 0, 1, 47, 286
"d:\Projects\chart_client\src\pages\Group\Group.vue", "Vue.js", 0, 762, 0, 0, 0, 0, 51, 18, 831
"d:\Projects\chart_client\src\pages\PolicyAnalyze\PolicyAnalyze.less", "Less", 0, 0, 338, 0, 0, 0, 5, 60, 403
"d:\Projects\chart_client\src\pages\PolicyAnalyze\PolicyAnalyze.vue", "Vue.js", 0, 424, 0, 0, 0, 0, 22, 8, 454
"d:\Projects\chart_client\src\pages\PoliticsInfo\PoliticsInfo.less", "Less", 0, 0, 258, 0, 0, 0, 4, 50, 312
"d:\Projects\chart_client\src\pages\PoliticsInfo\PoliticsInfo.vue", "Vue.js", 0, 707, 0, 0, 0, 0, 69, 35, 811
"d:\Projects\chart_client\src\router\index.js", "JavaScript", 31, 0, 0, 0, 0, 0, 5, 4, 40
"d:\Projects\chart_client\src\untils\effectList.js", "JavaScript", 281, 0, 0, 0, 0, 0, 0, 1, 282
"d:\Projects\chart_client\src\untils\jquery-1.11.3.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Projects\chart_client\src\untils\newsetDate.js", "JavaScript", 14486, 0, 0, 0, 0, 0, 88, 645, 15219
"d:\Projects\chart_client\src\untils\topic.js", "JavaScript", 105, 0, 0, 0, 0, 0, 7, 1, 113
"d:\Projects\chart_client\src\untils\visitCount.js", "JavaScript", 118, 0, 0, 0, 0, 0, 4, 1, 123
"d:\Projects\chart_client\src\untils\warning.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 0, 36
"d:\Projects\chart_client\src\untils_old\effectList.js", "JavaScript", 281, 0, 0, 0, 0, 0, 0, 1, 282
"d:\Projects\chart_client\src\untils_old\jquery-1.11.3.min.js", "JavaScript", 3, 0, 0, 0, 0, 0, 1, 1, 5
"d:\Projects\chart_client\src\untils_old\newsetDate.js", "JavaScript", 2645, 0, 0, 0, 0, 0, 12, 68, 2725
"d:\Projects\chart_client\src\untils_old\sad.js", "JavaScript", 14486, 0, 0, 0, 0, 0, 88, 645, 15219
"d:\Projects\chart_client\src\untils_old\topic.js", "JavaScript", 32, 0, 0, 0, 0, 0, 7, 1, 40
"d:\Projects\chart_client\src\untils_old\visitCount.js", "JavaScript", 50, 0, 0, 0, 0, 0, 4, 1, 55
"d:\Projects\chart_client\src\untils_old\warning.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 0, 23
"d:\Projects\chart_client\static\js\chinamap\china.js", "JavaScript", 24, 0, 0, 0, 0, 0, 4, 0, 28
"Total", "-", 33208, 2389, 1037, 173, 13, 14418, 466, 1797, 53501